@relation cropdetection-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute 'Crop Type' {Wheat,Rice,Tomato,Potato,Maize}
@attribute 'Leaf Color' {Yellow,Brown,Green}
@attribute 'Spots on Leaves' {No,Yes}
@attribute 'Humidity (\%)' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'Temperature (°C)' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'Disease Name' {Healthy,'Septoria Leaf Spot','Leaf Rust','Sheath Rot','Tomato Mosaic Virus','Bacterial Blight','Late Blight',Blast}
@attribute 'Severity Level' {High,None,Medium,Low}

@data
Wheat,Yellow,No,'\'(0.8-0.9]\'','\'(0.6-0.7]\'',Healthy,High
Rice,Yellow,Yes,'\'(0.2-0.3]\'','\'(0.4-0.5]\'','Septoria Leaf Spot',None
Wheat,Brown,Yes,'\'(0.3-0.4]\'','\'(0.4-0.5]\'',Healthy,Medium
Tomato,Green,Yes,'\'(-inf-0.1]\'','\'(0.9-inf)\'','Leaf Rust',None
Potato,Yellow,Yes,'\'(-inf-0.1]\'','\'(0.6-0.7]\'','Sheath Rot',High
Tomato,Yellow,Yes,'\'(0.8-0.9]\'','\'(0.3-0.4]\'',Healthy,Low
Rice,Green,Yes,'\'(0.2-0.3]\'','\'(0.2-0.3]\'','Tomato Mosaic Virus',High
Potato,Brown,Yes,'\'(0.5-0.6]\'','\'(0.7-0.8]\'','Sheath Rot',High
Rice,Brown,No,'\'(0.4-0.5]\'','\'(0.1-0.2]\'','Bacterial Blight',High
Rice,Yellow,No,'\'(0.4-0.5]\'','\'(0.3-0.4]\'','Bacterial Blight',Low
Wheat,Brown,No,'\'(-inf-0.1]\'','\'(0.5-0.6]\'','Sheath Rot',Low
Potato,Brown,Yes,'\'(0.9-inf)\'','\'(0.7-0.8]\'','Septoria Leaf Spot',High
Wheat,Brown,Yes,'\'(0.8-0.9]\'','\'(0.7-0.8]\'','Late Blight',None
Potato,Green,No,'\'(-inf-0.1]\'','\'(0.1-0.2]\'','Sheath Rot',High
Maize,Brown,No,'\'(0.3-0.4]\'','\'(0.5-0.6]\'','Late Blight',None
Wheat,Brown,Yes,'\'(0.9-inf)\'','\'(0.4-0.5]\'','Leaf Rust',None
Rice,Brown,No,'\'(-inf-0.1]\'','\'(0.7-0.8]\'','Bacterial Blight',None
Tomato,Green,Yes,'\'(0.4-0.5]\'','\'(0.8-0.9]\'','Sheath Rot',High
Potato,Green,No,'\'(0.6-0.7]\'','\'(0.6-0.7]\'','Late Blight',Low
Wheat,Green,No,'\'(-inf-0.1]\'','\'(0.5-0.6]\'','Septoria Leaf Spot',Medium
Potato,Brown,Yes,'\'(0.7-0.8]\'','\'(-inf-0.1]\'','Sheath Rot',None
Tomato,Yellow,Yes,'\'(0.2-0.3]\'','\'(0.4-0.5]\'','Tomato Mosaic Virus',Low
Potato,Yellow,No,'\'(0.6-0.7]\'','\'(0.3-0.4]\'','Sheath Rot',High
Wheat,Brown,No,'\'(-inf-0.1]\'','\'(0.2-0.3]\'',Healthy,Medium
Wheat,Green,No,'\'(0.5-0.6]\'','\'(0.6-0.7]\'','Late Blight',High
Wheat,Brown,No,'\'(0.5-0.6]\'','\'(0.7-0.8]\'',Healthy,None
Potato,Yellow,Yes,'\'(0.5-0.6]\'','\'(0.7-0.8]\'','Bacterial Blight',Low
Rice,Green,Yes,'\'(0.3-0.4]\'','\'(0.7-0.8]\'','Septoria Leaf Spot',None
Wheat,Green,Yes,'\'(0.3-0.4]\'','\'(0.8-0.9]\'','Late Blight',Medium
Potato,Green,Yes,'\'(0.6-0.7]\'','\'(0.4-0.5]\'','Bacterial Blight',None
Wheat,Yellow,No,'\'(0.3-0.4]\'','\'(0.2-0.3]\'','Tomato Mosaic Virus',High
Rice,Brown,No,'\'(0.9-inf)\'','\'(-inf-0.1]\'','Bacterial Blight',Medium
Rice,Green,Yes,'\'(0.3-0.4]\'','\'(0.9-inf)\'','Sheath Rot',Low
Wheat,Brown,No,'\'(0.3-0.4]\'','\'(0.2-0.3]\'','Sheath Rot',None
Wheat,Yellow,No,'\'(0.9-inf)\'','\'(0.2-0.3]\'',Blast,Medium
Rice,Brown,No,'\'(0.3-0.4]\'','\'(0.3-0.4]\'','Septoria Leaf Spot',Medium
Tomato,Green,Yes,'\'(-inf-0.1]\'','\'(-inf-0.1]\'','Septoria Leaf Spot',None
Rice,Green,No,'\'(0.5-0.6]\'','\'(0.8-0.9]\'','Tomato Mosaic Virus',None
Wheat,Brown,No,'\'(0.3-0.4]\'','\'(0.2-0.3]\'','Leaf Rust',High
Wheat,Brown,No,'\'(0.4-0.5]\'','\'(0.8-0.9]\'','Tomato Mosaic Virus',Medium
Wheat,Green,Yes,'\'(0.6-0.7]\'','\'(0.5-0.6]\'','Leaf Rust',High
Rice,Brown,Yes,'\'(0.6-0.7]\'','\'(0.9-inf)\'',Healthy,High
Rice,Yellow,No,'\'(0.5-0.6]\'','\'(0.4-0.5]\'',Healthy,High
Wheat,Brown,No,'\'(0.8-0.9]\'','\'(-inf-0.1]\'','Tomato Mosaic Virus',None
Wheat,Yellow,Yes,'\'(-inf-0.1]\'','\'(0.7-0.8]\'',Blast,High
Potato,Yellow,Yes,'\'(-inf-0.1]\'','\'(0.4-0.5]\'',Blast,Low
Wheat,Yellow,Yes,'\'(0.2-0.3]\'','\'(0.2-0.3]\'','Tomato Mosaic Virus',Medium
Potato,Yellow,Yes,'\'(-inf-0.1]\'','\'(0.9-inf)\'','Sheath Rot',Low
